ID Participante,Edad,Sexo,Canal,Estimulo,SOI,Calificacion
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M249,"1,667","8,100"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M251,"1,333","3,000"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M252,"1,444","8,000"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M253,"1,556","3,000"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M255,"3,667","0,000"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M256,"1,889","4,100"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M257,"1,222","6,300"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M258,"4,000","8,000"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M259,"2,667","2,000"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M260,"1,889","3,900"
R_3e3jWR2XfW4HsJX,25,1,Audiovisual,M261,"1,000","1,500"
R_3J7QJhEBDTbaMcy,23,1,Audio,M200,"2,222",7
R_3J7QJhEBDTbaMcy,23,1,Audio,M201,"6,889","5,9"
R_3J7QJhEBDTbaMcy,23,1,Audio,M203,"4,444","3,3"
R_3J7QJhEBDTbaMcy,23,1,Audio,M204,"5,000","2,3"
R_3J7QJhEBDTbaMcy,23,1,Audio,M205,"4,111","6,7"
R_3J7QJhEBDTbaMcy,23,1,Audio,M209,"2,556",0
R_3J7QJhEBDTbaMcy,23,1,Audio,M210,"3,889","3,2"
R_3J7QJhEBDTbaMcy,23,1,Audio,M213,"2,111","4,9"
R_3J7QJhEBDTbaMcy,23,1,Audio,M214,"0,889","6,6"
R_3J7QJhEBDTbaMcy,23,1,Audio,M215,"2,889","3,9"
R_3J7QJhEBDTbaMcy,23,1,Audio,M216,"5,667","0,3"
R_3J7QJhEBDTbaMcy,23,1,Audio,M217,"2,556",5
R_3J7QJhEBDTbaMcy,23,1,Audio,M218,"1,111",6
R_3J7QJhEBDTbaMcy,23,1,Audio,M239,"1,889",3
R_3J7QJhEBDTbaMcy,23,1,Audio,M240,"1,333","4,2"
R_3J7QJhEBDTbaMcy,23,1,Audio,M242,"3,667","2,7"
R_3J7QJhEBDTbaMcy,23,1,Audio,M246,"1,667","6,1"
R_3J7QJhEBDTbaMcy,23,1,Audio,M247,"1,444",7
R_3J7QJhEBDTbaMcy,23,1,Audio,M248,"4,444","3,2"
R_3J7QJhEBDTbaMcy,23,1,Audio,M249,"1,667",7
R_3J7QJhEBDTbaMcy,23,1,Audio,M251,"1,333",6
R_3J7QJhEBDTbaMcy,23,1,Audio,M252,"1,444","2,9"
R_3J7QJhEBDTbaMcy,23,1,Audio,M253,"1,556","2,6"
R_3J7QJhEBDTbaMcy,23,1,Audio,M255,"3,667",3
R_3J7QJhEBDTbaMcy,23,1,Audio,M256,"1,889",7
R_3J7QJhEBDTbaMcy,23,1,Audio,M257,"1,222",3
R_3J7QJhEBDTbaMcy,23,1,Audio,M258,"4,000","3,1"
R_3J7QJhEBDTbaMcy,23,1,Audio,M259,"2,667",3
R_3J7QJhEBDTbaMcy,23,1,Audio,M260,"1,889","3,7"
R_3J7QJhEBDTbaMcy,23,1,Audio,M261,"1,000","3,2"
R_3J7QJhEBDTbaMcy,23,1,Foto,M200,"2,222",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M201,"6,889",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M203,"4,444",5
R_3J7QJhEBDTbaMcy,23,1,Foto,M204,"5,000",2
R_3J7QJhEBDTbaMcy,23,1,Foto,M205,"4,111",6
R_3J7QJhEBDTbaMcy,23,1,Foto,M209,"2,556",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M210,"3,889",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M213,"2,111",6
R_3J7QJhEBDTbaMcy,23,1,Foto,M214,"0,889",7
R_3J7QJhEBDTbaMcy,23,1,Foto,M215,"2,889",5
R_3J7QJhEBDTbaMcy,23,1,Foto,M216,"5,667",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M217,"2,556",2
R_3J7QJhEBDTbaMcy,23,1,Foto,M218,"1,111",1
R_3J7QJhEBDTbaMcy,23,1,Foto,M239,"1,889",5
R_3J7QJhEBDTbaMcy,23,1,Foto,M240,"1,333",3
R_3J7QJhEBDTbaMcy,23,1,Foto,M242,"3,667",3
R_3J7QJhEBDTbaMcy,23,1,Foto,M246,"1,667","3,9"
R_3J7QJhEBDTbaMcy,23,1,Foto,M247,"1,444",7
R_3J7QJhEBDTbaMcy,23,1,Foto,M248,"4,444",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M249,"1,667",5
R_3J7QJhEBDTbaMcy,23,1,Foto,M251,"1,333",3
R_3J7QJhEBDTbaMcy,23,1,Foto,M252,"1,444",7
R_3J7QJhEBDTbaMcy,23,1,Foto,M253,"1,556",4
R_3J7QJhEBDTbaMcy,23,1,Foto,M255,"3,667","6,1"
R_3J7QJhEBDTbaMcy,23,1,Foto,M256,"1,889","6,9"
R_3J7QJhEBDTbaMcy,23,1,Foto,M257,"1,222","4,4"
R_3J7QJhEBDTbaMcy,23,1,Foto,M258,"4,000","6,1"
R_3J7QJhEBDTbaMcy,23,1,Foto,M259,"2,667","6,1"
R_3J7QJhEBDTbaMcy,23,1,Foto,M260,"1,889","6,2"
R_3J7QJhEBDTbaMcy,23,1,Foto,M261,"1,000","4,4"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M200,"2,222",6
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M201,"6,889","5,8"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M203,"4,444","6,2"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M204,"5,000","2,9"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M205,"4,111","4,2"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M209,"2,556",4
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M210,"3,889","4,2"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M213,"2,111","4,6"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M214,"0,889",7
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M215,"2,889","7,1"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M216,"5,667","6,3"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M217,"2,556","3,3"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M218,"1,111",6
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M239,"1,889",3
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M240,"1,333","6,8"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M242,"3,667","2,6"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M246,"1,667","4,1"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M247,"1,444","6,6"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M248,"4,444","3,2"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M249,"1,667","6,9"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M251,"1,333","7,3"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M252,"1,444",6
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M253,"1,556",4
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M255,"3,667","6,7"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M256,"1,889","3,2"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M257,"1,222","7,1"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M258,"4,000","6,7"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M259,"2,667","7,3"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M260,"1,889","6,6"
R_3J7QJhEBDTbaMcy,23,1,Audiovisual,M261,"1,000","4,2"
R_PulgvY0h8Hs2fip,27,1,Audio,M200,"2,222","3,7"
R_PulgvY0h8Hs2fip,27,1,Audio,M201,"6,889","3,6"
R_PulgvY0h8Hs2fip,27,1,Audio,M203,"4,444","3,4"
R_PulgvY0h8Hs2fip,27,1,Audio,M204,"5,000","6,3"
R_PulgvY0h8Hs2fip,27,1,Audio,M205,"4,111","6,1"
R_PulgvY0h8Hs2fip,27,1,Audio,M209,"2,556","5,9"
R_PulgvY0h8Hs2fip,27,1,Audio,M210,"3,889","3,3"
R_PulgvY0h8Hs2fip,27,1,Audio,M213,"2,111","3,1"
R_PulgvY0h8Hs2fip,27,1,Audio,M214,"0,889","7,1"
R_PulgvY0h8Hs2fip,27,1,Audio,M215,"2,889","6,1"
R_PulgvY0h8Hs2fip,27,1,Audio,M216,"5,667",4
R_PulgvY0h8Hs2fip,27,1,Audio,M217,"2,556",4
R_PulgvY0h8Hs2fip,27,1,Audio,M218,"1,111",5
R_PulgvY0h8Hs2fip,27,1,Audio,M239,"1,889","6,3"
R_PulgvY0h8Hs2fip,27,1,Audio,M240,"1,333","3,5"
R_PulgvY0h8Hs2fip,27,1,Audio,M242,"3,667","3,1"
R_PulgvY0h8Hs2fip,27,1,Audio,M246,"1,667","2,8"
R_PulgvY0h8Hs2fip,27,1,Audio,M247,"1,444","2,9"
R_PulgvY0h8Hs2fip,27,1,Audio,M248,"4,444","4,8"
R_PulgvY0h8Hs2fip,27,1,Audio,M249,"1,667","6,2"
R_PulgvY0h8Hs2fip,27,1,Audio,M251,"1,333","3,3"
R_PulgvY0h8Hs2fip,27,1,Audio,M252,"1,444","3,9"
R_PulgvY0h8Hs2fip,27,1,Audio,M253,"1,556","3,6"
R_PulgvY0h8Hs2fip,27,1,Audio,M255,"3,667","6,3"
R_PulgvY0h8Hs2fip,27,1,Audio,M256,"1,889","5,5"
R_PulgvY0h8Hs2fip,27,1,Audio,M257,"1,222",4
R_PulgvY0h8Hs2fip,27,1,Audio,M258,"4,000","3,2"
R_PulgvY0h8Hs2fip,27,1,Audio,M259,"2,667",6
R_PulgvY0h8Hs2fip,27,1,Audio,M260,"1,889","6,2"
R_PulgvY0h8Hs2fip,27,1,Audio,M261,"1,000","4,2"
R_PulgvY0h8Hs2fip,27,1,Foto,M200,"2,222",4
R_PulgvY0h8Hs2fip,27,1,Foto,M201,"6,889",4
R_PulgvY0h8Hs2fip,27,1,Foto,M203,"4,444",2
R_PulgvY0h8Hs2fip,27,1,Foto,M204,"5,000","1,9"
R_PulgvY0h8Hs2fip,27,1,Foto,M205,"4,111","2,6"
R_PulgvY0h8Hs2fip,27,1,Foto,M209,"2,556","2,5"
R_PulgvY0h8Hs2fip,27,1,Foto,M210,"3,889","5,3"
R_PulgvY0h8Hs2fip,27,1,Foto,M213,"2,111","6,1"
R_PulgvY0h8Hs2fip,27,1,Foto,M214,"0,889","3,2"
R_PulgvY0h8Hs2fip,27,1,Foto,M215,"2,889","2,8"
R_PulgvY0h8Hs2fip,27,1,Foto,M216,"5,667","2,5"
R_PulgvY0h8Hs2fip,27,1,Foto,M217,"2,556","2,1"
R_PulgvY0h8Hs2fip,27,1,Foto,M218,"1,111","2,1"
R_PulgvY0h8Hs2fip,27,1,Foto,M239,"1,889","1,9"
R_PulgvY0h8Hs2fip,27,1,Foto,M240,"1,333","2,3"
R_PulgvY0h8Hs2fip,27,1,Foto,M242,"3,667","2,3"
R_PulgvY0h8Hs2fip,27,1,Foto,M246,"1,667","3,1"
R_PulgvY0h8Hs2fip,27,1,Foto,M247,"1,444","2,2"
R_PulgvY0h8Hs2fip,27,1,Foto,M248,"4,444","2,9"
R_PulgvY0h8Hs2fip,27,1,Foto,M249,"1,667","6,6"
R_PulgvY0h8Hs2fip,27,1,Foto,M251,"1,333","3,1"
R_PulgvY0h8Hs2fip,27,1,Foto,M252,"1,444","6,3"
R_PulgvY0h8Hs2fip,27,1,Foto,M253,"1,556",3
R_PulgvY0h8Hs2fip,27,1,Foto,M255,"3,667","2,9"
R_PulgvY0h8Hs2fip,27,1,Foto,M256,"1,889","2,5"
R_PulgvY0h8Hs2fip,27,1,Foto,M257,"1,222","2,5"
R_PulgvY0h8Hs2fip,27,1,Foto,M258,"4,000","2,6"
R_PulgvY0h8Hs2fip,27,1,Foto,M259,"2,667","2,9"
R_PulgvY0h8Hs2fip,27,1,Foto,M260,"1,889","3,2"
R_PulgvY0h8Hs2fip,27,1,Foto,M261,"1,000","3,1"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M200,"2,222","5,8"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M201,"6,889","5,2"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M203,"4,444","2,5"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M204,"5,000","2,9"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M205,"4,111","2,8"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M209,"2,556","2,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M210,"3,889","2,2"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M213,"2,111",3
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M214,"0,889","5,9"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M215,"2,889","3,6"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M216,"5,667","3,2"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M217,"2,556","2,8"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M218,"1,111","2,9"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M239,"1,889","3,3"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M240,"1,333","3,4"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M242,"3,667","3,1"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M246,"1,667","3,2"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M247,"1,444","3,1"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M248,"4,444","3,4"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M249,"1,667","5,5"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M251,"1,333","2,6"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M252,"1,444","5,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M253,"1,556","4,1"
